S,H,A,TH,TA,gh,ga,allg,ph,pa,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,y1,y2,p1,p2,p5,p6,id,p3,p4,p7,p8,p1.1,p2.1,p3.1,p4.1,KH,KA,last_h5,last_a5,last_5KH,last_5KA
8,38,15,2,2,1,2,3,0,3,12.0,7.0,4.0,5.0,6.0,5.0,18.0,20.0,5.0,3.0,0.0,0.0,0,1,,,205.0,116.0,2842,1.0,0.0,310.0,323.0,,,1.0,3.0,4.0,4.0,1.0,1.2,2.8,2.8
8,46,15,26,27,1,1,2,1,1,21.0,13.0,9.0,4.0,5.0,4.0,13.0,16.0,2.0,5.0,0.0,0.0,0,0,17.0,11.0,251.0,127.0,3089,31.0,21.0,394.0,344.0,18.0,12.0,32.0,22.0,3.0,4.0,2.0,1.6,3.0,2.4
8,1,15,37,37,3,2,5,3,0,6.0,6.0,4.0,3.0,6.0,2.0,12.0,23.0,2.0,5.0,0.0,0.0,1,1,29.0,15.0,256.0,131.0,3182,51.0,33.0,450.0,356.0,32.0,15.0,54.0,33.0,3.0,4.0,1.75,1.6,3.0,1.8
8,13,28,10,10,1,0,1,3,0,5.0,8.0,2.0,6.0,5.0,6.0,11.0,19.0,2.0,2.0,0.0,0.0,0,0,8.0,8.0,27.0,81.0,2915,12.0,10.0,48.0,198.0,11.0,8.0,15.0,10.0,5.0,4.0,1.8,0.0,3.4,2.6
8,14,28,30,31,2,1,3,3,0,17.0,7.0,5.0,3.0,4.0,3.0,19.0,10.0,2.0,1.0,0.0,0.0,0,1,33.0,16.0,286.0,89.0,3123,42.0,31.0,459.0,219.0,36.0,16.0,45.0,31.0,2.0,4.0,2.8,0.5,3.0,3.6
8,15,28,1,1,1,3,4,0,3,6.0,16.0,3.0,9.0,8.0,4.0,15.0,21.0,5.0,3.0,1.0,0.0,1,1,,,207.0,73.0,2827,,,323.0,188.0,,,,,4.0,4.0,1.25,1.3333333333333333,2.8,3.0
8,17,28,4,4,3,3,6,1,1,9.0,5.0,5.0,4.0,11.0,5.0,8.0,10.0,3.0,2.0,0.0,0.0,1,1,1.0,3.0,122.0,76.0,2861,2.0,4.0,193.0,192.0,2.0,4.0,3.0,5.0,5.0,4.0,1.8,1.75,3.0,2.0
8,23,28,20,22,1,1,2,1,1,16.0,5.0,5.0,3.0,5.0,1.0,14.0,15.0,2.0,3.0,0.0,0.0,0,0,18.0,9.0,273.0,82.0,3034,25.0,19.0,452.0,207.0,19.0,10.0,26.0,20.0,2.0,4.0,1.8,1.6,3.8,3.8
8,24,28,35,35,0,3,3,0,3,15.0,15.0,4.0,7.0,12.0,5.0,13.0,11.0,3.0,1.0,0.0,0.0,0,1,31.0,19.0,166.0,92.0,3164,45.0,35.0,278.0,223.0,31.0,22.0,45.0,38.0,3.0,4.0,1.4,1.6,3.2,2.8
8,25,28,23,24,0,0,0,1,1,22.0,4.0,7.0,2.0,7.0,3.0,9.0,10.0,1.0,1.0,0.0,0.0,0,0,28.0,10.0,307.0,83.0,3055,39.0,23.0,498.0,211.0,29.0,11.0,40.0,24.0,2.0,4.0,2.4,2.2,3.6,2.8
8,40,28,17,17,1,0,1,3,0,8.0,8.0,5.0,5.0,5.0,3.0,22.0,21.0,1.0,3.0,0.0,0.0,0,0,18.0,8.0,81.0,81.0,2990,26.0,11.0,124.0,199.0,21.0,8.0,29.0,11.0,3.0,4.0,1.4,2.0,3.0,3.0
8,43,28,19,19,0,0,0,1,1,16.0,5.0,8.0,0.0,8.0,4.0,22.0,13.0,2.0,3.0,0.0,0.0,0,0,23.0,8.0,228.0,81.0,3013,25.0,14.0,383.0,202.0,24.0,9.0,26.0,15.0,4.0,4.0,0.75,1.4,2.4,3.2
8,27,28,13,13,2,1,3,3,0,18.0,5.0,11.0,1.0,10.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0,1,16.0,8.0,344.0,81.0,2949,27.0,10.0,611.0,198.0,19.0,8.0,30.0,10.0,1.0,4.0,2.8,0.8,1.2,3.2
8,0,28,33,33,0,3,3,0,3,17.0,6.0,8.0,2.0,9.0,0.0,13.0,11.0,1.0,1.0,0.0,0.0,0,1,42.0,16.0,318.0,89.0,3144,60.0,32.0,542.0,220.0,42.0,19.0,60.0,35.0,2.0,4.0,2.0,0.8,1.4,2.6
8,8,28,36,37,1,1,2,1,1,10.0,14.0,7.0,9.0,6.0,6.0,25.0,21.0,4.0,2.0,0.0,0.0,0,0,18.0,22.0,44.0,95.0,3183,24.0,38.0,60.0,226.0,19.0,23.0,25.0,39.0,5.0,4.0,1.6,0.8,1.4,3.0
8,22,28,11,11,2,1,3,3,0,19.0,7.0,11.0,3.0,6.0,1.0,8.0,17.0,0.0,2.0,0.0,0.0,0,1,6.0,8.0,47.0,81.0,2927,15.0,10.0,85.0,198.0,9.0,8.0,18.0,10.0,5.0,4.0,2.4,1.0,1.8,2.8
8,18,28,24,25,2,2,4,1,1,17.0,6.0,8.0,3.0,9.0,1.0,17.0,12.0,1.0,5.0,0.0,0.0,1,1,13.0,11.0,216.0,84.0,3064,26.0,24.0,356.0,212.0,14.0,12.0,27.0,25.0,4.0,4.0,1.4,1.2,2.2,2.8
8,26,28,6,6,1,1,2,1,1,11.0,4.0,4.0,2.0,9.0,3.0,15.0,11.0,2.0,5.0,0.0,0.0,0,0,3.0,4.0,90.0,77.0,2882,6.0,5.0,138.0,193.0,4.0,5.0,7.0,6.0,5.0,4.0,0.5,1.6,3.0,3.0
8,29,28,29,30,1,2,3,0,3,16.0,7.0,5.0,4.0,5.0,1.0,14.0,19.0,0.0,3.0,0.0,1.0,0,1,23.0,13.0,302.0,86.0,3115,38.0,28.0,475.0,216.0,23.0,16.0,38.0,31.0,4.0,4.0,1.4,1.6,2.8,3.0
8,38,28,8,8,1,3,4,0,3,16.0,7.0,8.0,5.0,6.0,6.0,6.0,22.0,2.0,2.0,0.0,0.0,1,1,4.0,5.0,209.0,78.0,2899,9.0,7.0,318.0,195.0,4.0,8.0,9.0,10.0,4.0,4.0,1.0,1.4,2.8,2.8
8,46,28,16,16,1,0,1,3,0,14.0,5.0,6.0,3.0,7.0,5.0,17.0,19.0,1.0,4.0,0.0,1.0,0,0,9.0,8.0,243.0,81.0,2981,21.0,11.0,384.0,199.0,12.0,8.0,24.0,11.0,3.0,4.0,1.8,1.8,3.2,2.4
8,1,28,25,27,1,1,2,1,1,15.0,6.0,4.0,3.0,7.0,4.0,11.0,11.0,1.0,1.0,0.0,0.0,0,0,16.0,12.0,243.0,85.0,3081,32.0,26.0,431.0,214.0,17.0,13.0,33.0,27.0,3.0,4.0,1.6,1.6,2.8,2.4
8,13,8,12,12,2,0,2,3,0,11.0,12.0,7.0,8.0,3.0,6.0,10.0,20.0,0.0,1.0,0.0,1.0,0,0,11.0,1.0,30.0,11.0,2934,15.0,7.0,51.0,43.0,14.0,1.0,18.0,7.0,5.0,5.0,1.8,0.0,3.2,2.8
8,14,8,19,19,3,0,3,3,0,17.0,7.0,8.0,1.0,5.0,4.0,8.0,12.0,0.0,1.0,0.0,0.0,0,1,20.0,2.0,273.0,12.0,3006,23.0,12.0,440.0,48.0,23.0,2.0,26.0,12.0,2.0,5.0,2.8,0.0,2.8,2.2
8,15,8,38,38,0,0,0,1,1,15.0,10.0,7.0,3.0,9.0,3.0,15.0,13.0,1.0,1.0,0.0,0.0,0,0,18.0,6.0,225.0,16.0,3196,33.0,25.0,356.0,61.0,19.0,7.0,34.0,26.0,4.0,5.0,1.0,0.0,3.2,3.0
8,17,8,14,14,2,0,2,3,0,7.0,7.0,3.0,4.0,2.0,4.0,10.0,18.0,3.0,1.0,0.0,0.0,0,0,5.0,1.0,126.0,11.0,2955,7.0,7.0,198.0,43.0,8.0,1.0,10.0,7.0,5.0,5.0,1.8,0.0,2.8,3.0
8,23,8,37,37,6,1,7,3,0,18.0,13.0,9.0,7.0,9.0,7.0,20.0,13.0,1.0,0.0,0.0,0.0,1,1,30.0,6.0,285.0,16.0,3192,62.0,25.0,489.0,61.0,33.0,6.0,65.0,25.0,2.0,5.0,1.8,0.2,2.2,2.2
8,24,8,21,21,1,2,3,0,3,9.0,8.0,3.0,4.0,5.0,3.0,11.0,14.0,0.0,3.0,0.0,0.0,0,1,21.0,2.0,156.0,12.0,3035,35.0,12.0,268.0,48.0,21.0,5.0,35.0,15.0,3.0,5.0,1.4,0.2,2.8,2.4
8,25,8,1,1,1,0,1,3,0,16.0,3.0,10.0,2.0,6.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,0,0,,,279.0,10.0,2831,,,459.0,36.0,,,,,2.0,5.0,2.4,0.6,3.0,3.0
8,40,8,24,23,0,0,0,1,1,14.0,7.0,6.0,3.0,8.0,7.0,10.0,13.0,0.0,1.0,0.0,0.0,0,0,27.0,5.0,90.0,15.0,3058,42.0,15.0,140.0,51.0,28.0,6.0,43.0,16.0,3.0,5.0,1.4,0.6,2.6,2.0
8,43,8,32,31,2,1,3,3,0,17.0,10.0,13.0,5.0,5.0,7.0,13.0,9.0,1.0,1.0,0.0,0.0,0,1,32.0,6.0,237.0,16.0,3140,39.0,18.0,397.0,54.0,35.0,6.0,42.0,18.0,4.0,5.0,1.0,0.6,2.6,2.2
8,27,8,4,4,6,0,6,3,0,21.0,6.0,12.0,4.0,5.0,1.0,12.0,10.0,0.0,1.0,0.0,0.0,1,1,3.0,0.0,331.0,10.0,2855,5.0,4.0,589.0,40.0,6.0,0.0,8.0,4.0,1.0,5.0,2.8,0.8,2.8,3.6
8,0,8,25,24,2,0,2,3,0,20.0,6.0,8.0,2.0,6.0,3.0,12.0,14.0,1.0,2.0,0.0,0.0,0,0,30.0,6.0,306.0,16.0,3061,41.0,16.0,523.0,52.0,33.0,6.0,44.0,16.0,2.0,5.0,2.0,0.6,2.6,2.8
8,22,8,28,28,3,1,4,3,0,21.0,7.0,8.0,5.0,7.0,2.0,13.0,14.0,0.0,4.0,0.0,0.0,1,1,25.0,6.0,66.0,16.0,3107,43.0,16.0,113.0,52.0,28.0,6.0,46.0,16.0,5.0,5.0,2.4,0.2,2.4,2.2
8,28,8,15,15,2,2,4,1,1,14.0,9.0,9.0,5.0,6.0,4.0,17.0,18.0,0.0,2.0,1.0,0.0,1,1,2.0,1.0,117.0,11.0,2969,10.0,7.0,198.0,43.0,3.0,2.0,11.0,8.0,4.0,5.0,1.0,0.4,3.0,2.8
8,18,8,36,34,2,1,3,3,0,18.0,7.0,9.0,4.0,5.0,2.0,15.0,15.0,1.0,2.0,0.0,0.0,0,1,22.0,6.0,225.0,16.0,3171,38.0,24.0,368.0,60.0,25.0,6.0,41.0,24.0,4.0,5.0,1.4,0.8,3.8,2.8
8,26,8,9,9,2,0,2,3,0,13.0,10.0,10.0,2.0,5.0,6.0,10.0,16.0,0.0,2.0,0.0,0.0,0,0,4.0,1.0,91.0,11.0,2910,8.0,6.0,140.0,42.0,7.0,1.0,11.0,6.0,5.0,5.0,0.8,0.8,3.8,2.6
8,29,8,18,18,2,1,3,3,0,17.0,7.0,6.0,3.0,4.0,3.0,16.0,17.0,0.0,2.0,0.0,0.0,0,1,13.0,2.0,292.0,12.0,3001,24.0,12.0,461.0,48.0,16.0,2.0,27.0,12.0,4.0,5.0,1.4,0.8,3.0,2.8
8,38,8,26,26,2,0,2,3,0,12.0,4.0,6.0,1.0,8.0,0.0,9.0,16.0,0.0,1.0,0.0,0.0,0,0,23.0,6.0,228.0,16.0,3086,32.0,16.0,341.0,52.0,26.0,6.0,35.0,16.0,4.0,5.0,1.2,1.0,3.2,2.6
8,46,8,8,8,1,1,2,1,1,14.0,9.0,6.0,6.0,7.0,2.0,14.0,10.0,3.0,2.0,0.0,0.0,0,0,2.0,0.0,236.0,10.0,2900,6.0,5.0,369.0,41.0,3.0,1.0,7.0,6.0,3.0,5.0,1.8,0.8,2.8,1.4
8,1,8,5,6,2,0,2,3,0,12.0,8.0,7.0,4.0,5.0,6.0,8.0,12.0,0.0,2.0,0.0,0.0,0,0,1.0,0.0,228.0,10.0,2875,5.0,5.0,404.0,41.0,4.0,0.0,8.0,5.0,3.0,5.0,1.6,0.6,2.4,1.6
8,13,14,14,14,2,0,2,3,0,10.0,13.0,6.0,3.0,4.0,5.0,18.0,22.0,2.0,3.0,0.0,0.0,0,0,14.0,3.0,33.0,167.0,2954,18.0,17.0,54.0,434.0,17.0,3.0,21.0,17.0,5.0,2.0,1.4,0.0,2.2,2.4
8,15,14,29,27,0,0,0,1,1,17.0,24.0,10.0,11.0,5.0,8.0,13.0,15.0,2.0,2.0,0.0,0.0,0,0,11.0,5.0,218.0,169.0,3100,23.0,38.0,346.0,455.0,12.0,6.0,24.0,39.0,4.0,2.0,1.0,0.0,2.0,3.0
8,17,14,32,31,0,4,4,0,3,3.0,10.0,2.0,7.0,1.0,9.0,13.0,7.0,1.0,1.0,0.0,0.0,1,1,27.0,9.0,148.0,173.0,3133,35.0,45.0,226.0,462.0,27.0,12.0,35.0,48.0,5.0,2.0,2.0,1.3333333333333333,1.6,2.4
8,23,14,35,35,2,0,2,3,0,16.0,7.0,9.0,5.0,7.0,2.0,22.0,17.0,2.0,5.0,0.0,0.0,0,0,27.0,15.0,282.0,179.0,3172,59.0,54.0,486.0,471.0,30.0,15.0,62.0,54.0,2.0,2.0,2.8,1.0,2.2,3.2
8,24,14,25,25,2,1,3,3,0,10.0,8.0,5.0,4.0,2.0,7.0,7.0,13.0,0.0,1.0,0.0,0.0,0,1,22.0,5.0,157.0,169.0,3074,36.0,37.0,269.0,454.0,25.0,5.0,39.0,37.0,3.0,2.0,1.4,1.0,2.0,1.8
8,25,14,37,37,2,2,4,1,1,16.0,14.0,8.0,7.0,6.0,6.0,14.0,21.0,1.0,4.0,0.0,0.0,1,1,42.0,15.0,321.0,179.0,3191,65.0,57.0,524.0,474.0,43.0,16.0,66.0,58.0,2.0,2.0,2.0,1.0,2.2,3.0
8,40,14,9,9,1,0,1,3,0,16.0,11.0,11.0,2.0,5.0,0.0,12.0,18.0,0.0,1.0,1.0,1.0,0,0,8.0,3.0,71.0,167.0,2911,9.0,10.0,107.0,427.0,11.0,3.0,12.0,10.0,3.0,2.0,1.2,1.4,2.6,2.0
8,43,14,34,33,0,3,3,0,3,5.0,16.0,1.0,10.0,2.0,5.0,14.0,11.0,2.0,2.0,1.0,0.0,0,1,35.0,12.0,240.0,176.0,3158,45.0,51.0,403.0,468.0,35.0,15.0,45.0,54.0,4.0,2.0,1.0,1.4,2.8,2.4
8,27,14,7,7,3,3,6,1,1,11.0,13.0,5.0,5.0,8.0,4.0,15.0,19.0,3.0,2.0,0.0,0.0,1,1,9.0,2.0,337.0,166.0,2889,14.0,6.0,598.0,423.0,10.0,3.0,15.0,7.0,1.0,2.0,3.8,1.2,2.6,4.4
8,0,14,23,22,1,1,2,1,1,15.0,12.0,8.0,8.0,10.0,3.0,13.0,15.0,1.0,4.0,0.0,0.0,0,0,29.0,4.0,305.0,168.0,3040,39.0,30.0,521.0,447.0,30.0,5.0,40.0,31.0,2.0,2.0,1.4,1.8,3.4,3.2
8,8,14,2,2,2,0,2,3,0,12.0,14.0,3.0,6.0,6.0,4.0,14.0,16.0,0.0,1.0,0.0,0.0,0,0,,,26.0,164.0,2836,0.0,3.0,36.0,420.0,,,3.0,3.0,5.0,2.0,1.6,1.8,3.2,2.8
8,22,14,20,20,2,2,4,1,1,19.0,7.0,13.0,4.0,8.0,2.0,5.0,9.0,0.0,4.0,0.0,0.0,1,1,15.0,3.0,56.0,167.0,3018,33.0,26.0,103.0,443.0,16.0,4.0,34.0,27.0,5.0,2.0,2.6,1.4,2.8,2.8
8,28,14,18,18,1,0,1,3,0,7.0,9.0,4.0,3.0,3.0,5.0,14.0,16.0,0.0,2.0,0.0,0.0,0,0,3.0,3.0,118.0,167.0,3000,11.0,23.0,199.0,440.0,6.0,3.0,14.0,23.0,4.0,2.0,1.0,1.8,3.4,2.2
8,18,14,15,15,2,1,3,3,0,11.0,10.0,5.0,6.0,1.0,4.0,11.0,18.0,0.0,3.0,0.0,1.0,0,1,8.0,3.0,211.0,167.0,2967,18.0,17.0,348.0,434.0,11.0,3.0,21.0,17.0,4.0,2.0,1.2,1.2,3.0,1.8
8,26,14,38,38,1,2,3,0,3,3.0,9.0,1.0,3.0,8.0,7.0,22.0,18.0,4.0,2.0,0.0,0.0,0,1,15.0,16.0,102.0,180.0,3200,34.0,58.0,166.0,475.0,15.0,19.0,34.0,61.0,5.0,2.0,0.8,0.8,2.4,2.8
8,29,14,5,5,0,0,0,1,1,10.0,10.0,4.0,3.0,5.0,6.0,17.0,21.0,0.0,3.0,0.0,0.0,0,0,6.0,1.0,285.0,165.0,2871,9.0,5.0,446.0,422.0,7.0,2.0,10.0,6.0,4.0,2.0,1.8,1.0,2.6,1.8
8,38,14,12,12,3,2,5,3,0,10.0,9.0,4.0,4.0,7.0,7.0,16.0,11.0,4.0,2.0,0.0,0.0,1,1,4.0,3.0,209.0,167.0,2940,10.0,16.0,319.0,433.0,7.0,3.0,13.0,16.0,4.0,2.0,1.2,1.0,2.2,1.4
8,46,14,29,28,0,2,2,0,3,7.0,17.0,2.0,6.0,1.0,0.0,12.0,9.0,2.0,2.0,0.0,0.0,0,0,18.0,6.0,252.0,170.0,3109,35.0,39.0,398.0,456.0,18.0,9.0,35.0,42.0,3.0,2.0,1.2,1.0,2.4,1.6
8,1,14,2,3,1,1,2,1,1,12.0,11.0,9.0,7.0,7.0,10.0,13.0,12.0,0.0,1.0,0.0,0.0,0,0,,0.0,227.0,164.0,2853,1.0,3.0,400.0,420.0,,1.0,2.0,4.0,3.0,2.0,1.6,1.4,2.6,2.0
8,13,40,15,15,0,1,1,0,3,10.0,8.0,2.0,3.0,7.0,8.0,16.0,16.0,0.0,1.0,0.0,0.0,0,0,17.0,5.0,36.0,40.0,2964,21.0,20.0,57.0,118.0,17.0,8.0,21.0,23.0,5.0,3.0,1.6,1.0,3.8,3.0
8,14,40,29,30,2,4,6,0,3,14.0,11.0,6.0,7.0,4.0,5.0,15.0,26.0,0.0,0.0,0.0,0.0,1,1,33.0,15.0,286.0,50.0,3113,42.0,45.0,459.0,143.0,33.0,18.0,42.0,48.0,2.0,3.0,3.0,2.5,3.2,2.2
8,15,40,34,34,1,0,1,3,0,14.0,6.0,9.0,3.0,6.0,3.0,15.0,21.0,3.0,0.0,0.0,0.0,0,0,15.0,19.0,222.0,54.0,3152,30.0,49.0,353.0,147.0,18.0,19.0,33.0,49.0,4.0,3.0,0.8,1.6666666666666667,2.8,2.4
8,17,40,26,26,1,0,1,3,0,9.0,17.0,3.0,5.0,3.0,4.0,16.0,18.0,7.0,3.0,0.0,0.0,0,0,18.0,15.0,139.0,50.0,3072,24.0,43.0,215.0,141.0,21.0,15.0,27.0,43.0,5.0,3.0,1.6,1.25,2.4,2.8
8,23,40,17,18,2,0,2,3,0,17.0,17.0,8.0,6.0,8.0,5.0,16.0,20.0,3.0,4.0,0.0,0.0,0,0,15.0,8.0,270.0,43.0,2998,22.0,29.0,449.0,127.0,18.0,8.0,25.0,29.0,2.0,3.0,2.8,1.0,2.0,3.2
8,24,40,27,28,2,0,2,3,0,11.0,9.0,7.0,3.0,6.0,5.0,13.0,16.0,0.0,4.0,0.0,1.0,0,0,25.0,15.0,160.0,50.0,3094,39.0,44.0,272.0,142.0,28.0,15.0,42.0,44.0,3.0,3.0,1.6,1.0,2.2,2.0
8,25,40,7,7,1,1,2,1,1,11.0,8.0,6.0,3.0,12.0,3.0,14.0,18.0,2.0,2.0,0.0,0.0,0,0,9.0,0.0,288.0,35.0,2888,11.0,7.0,470.0,105.0,10.0,1.0,12.0,8.0,2.0,3.0,2.0,0.8,2.4,3.2
8,43,40,12,12,2,1,3,3,0,11.0,12.0,6.0,3.0,8.0,7.0,18.0,9.0,1.0,0.0,1.0,0.0,0,1,13.0,2.0,218.0,37.0,2941,14.0,16.0,372.0,114.0,16.0,2.0,17.0,16.0,4.0,3.0,1.0,0.2,1.6,2.0
8,27,40,5,5,3,0,3,3,0,15.0,5.0,7.0,1.0,4.0,4.0,18.0,14.0,1.0,3.0,0.0,0.0,0,1,6.0,0.0,334.0,35.0,2869,8.0,4.0,592.0,102.0,9.0,0.0,11.0,4.0,1.0,3.0,3.4,0.4,2.0,4.6
8,0,40,21,21,2,2,4,1,1,17.0,14.0,9.0,7.0,11.0,1.0,14.0,18.0,0.0,3.0,0.0,0.0,1,1,28.0,11.0,304.0,46.0,3024,38.0,35.0,520.0,133.0,29.0,12.0,39.0,36.0,2.0,3.0,1.4,0.4,2.4,3.2
8,8,40,20,20,1,4,5,0,3,11.0,16.0,3.0,11.0,9.0,8.0,17.0,17.0,2.0,0.0,0.0,0.0,1,1,10.0,8.0,36.0,43.0,3016,12.0,32.0,48.0,130.0,10.0,11.0,12.0,35.0,5.0,3.0,1.6,0.8,2.8,2.2
8,22,40,3,3,1,0,1,3,0,14.0,9.0,5.0,3.0,7.0,6.0,10.0,12.0,1.0,1.0,0.0,0.0,0,0,1.0,0.0,42.0,35.0,2847,1.0,3.0,71.0,101.0,4.0,0.0,4.0,3.0,5.0,3.0,2.4,1.6,3.4,2.8
8,28,40,32,32,0,0,0,1,1,12.0,12.0,6.0,4.0,3.0,2.0,22.0,22.0,5.0,3.0,1.0,0.0,0,0,15.0,18.0,130.0,53.0,3137,31.0,48.0,219.0,146.0,16.0,19.0,32.0,49.0,4.0,3.0,1.0,1.4,3.2,2.4
8,18,40,38,38,2,2,4,1,1,18.0,11.0,8.0,4.0,5.0,6.0,12.0,13.0,5.0,3.0,0.0,1.0,1,1,25.0,22.0,228.0,57.0,3198,41.0,56.0,371.0,154.0,26.0,23.0,42.0,57.0,4.0,3.0,1.4,1.2,2.6,1.8
8,26,40,2,2,4,2,6,3,0,15.0,9.0,10.0,4.0,7.0,3.0,24.0,14.0,3.0,3.0,0.0,0.0,1,1,,,87.0,35.0,2840,0.0,3.0,132.0,101.0,,,3.0,3.0,5.0,3.0,1.0,1.6,2.8,2.2
8,29,40,14,14,1,2,3,0,3,19.0,9.0,9.0,6.0,1.0,4.0,17.0,26.0,1.0,3.0,0.0,0.0,0,1,10.0,2.0,289.0,37.0,2960,20.0,17.0,457.0,115.0,10.0,5.0,20.0,20.0,4.0,3.0,1.6,1.6,3.2,2.6
8,38,40,34,36,0,1,1,0,3,11.0,6.0,5.0,3.0,11.0,2.0,15.0,14.0,2.0,1.0,0.0,0.0,0,0,29.0,19.0,234.0,54.0,3176,45.0,50.0,354.0,148.0,29.0,22.0,45.0,53.0,4.0,3.0,1.8,1.2,2.8,2.2
8,46,40,22,23,0,2,2,0,3,13.0,7.0,6.0,5.0,9.0,6.0,20.0,21.0,4.0,2.0,0.0,0.0,0,0,16.0,12.0,250.0,47.0,3048,29.0,39.0,392.0,137.0,16.0,15.0,29.0,42.0,3.0,3.0,0.6,1.4,2.8,2.0
8,1,40,9,10,0,0,0,1,1,17.0,7.0,4.0,3.0,7.0,3.0,11.0,17.0,1.0,3.0,0.0,0.0,0,0,7.0,1.0,234.0,36.0,2922,12.0,12.0,411.0,110.0,8.0,2.0,13.0,13.0,3.0,3.0,1.8,1.8,3.2,1.8
8,13,27,17,17,3,3,6,1,1,15.0,15.0,8.0,8.0,9.0,6.0,6.0,10.0,0.0,1.0,0.0,0.0,1,1,17.0,17.0,36.0,273.0,2986,21.0,39.0,57.0,623.0,18.0,18.0,22.0,40.0,5.0,1.0,1.4,3.0,4.0,2.8
8,14,27,26,27,1,1,2,1,1,8.0,16.0,4.0,6.0,3.0,8.0,16.0,12.0,0.0,2.0,0.0,0.0,0,0,32.0,28.0,285.0,284.0,3082,37.0,62.0,454.0,646.0,33.0,29.0,38.0,63.0,2.0,1.0,3.2,2.0,4.4,3.2
8,15,27,12,12,1,2,3,0,3,4.0,11.0,2.0,6.0,3.0,9.0,17.0,8.0,1.0,1.0,0.0,0.0,0,1,4.0,8.0,211.0,264.0,2935,11.0,24.0,334.0,608.0,4.0,11.0,11.0,27.0,4.0,1.0,0.8,2.0,3.8,2.2
8,17,27,15,15,0,3,3,0,3,1.0,12.0,0.0,7.0,3.0,9.0,12.0,12.0,2.0,1.0,0.0,0.0,0,1,8.0,14.0,129.0,270.0,2966,10.0,33.0,201.0,617.0,8.0,17.0,10.0,36.0,5.0,1.0,1.4,2.25,3.6,3.8
8,23,27,29,29,1,1,2,1,1,18.0,5.0,10.0,5.0,14.0,3.0,25.0,21.0,3.0,5.0,0.0,0.0,0,0,23.0,29.0,278.0,285.0,3103,43.0,66.0,470.0,650.0,24.0,30.0,44.0,67.0,2.0,1.0,2.4,2.0,3.6,3.2
8,24,27,9,9,0,3,3,0,3,10.0,16.0,4.0,5.0,6.0,7.0,8.0,11.0,0.0,0.0,0.0,0.0,0,1,8.0,5.0,143.0,261.0,2909,16.0,15.0,249.0,599.0,8.0,8.0,16.0,18.0,3.0,1.0,1.2,2.0,3.2,1.6
8,25,27,29,31,2,0,2,3,0,15.0,9.0,6.0,3.0,6.0,4.0,8.0,8.0,1.0,1.0,1.0,0.0,0,0,33.0,30.0,312.0,286.0,3125,46.0,70.0,505.0,654.0,36.0,30.0,49.0,70.0,2.0,1.0,1.6,2.0,2.6,2.4
8,40,27,25,25,0,1,1,0,3,9.0,13.0,2.0,7.0,3.0,2.0,15.0,13.0,2.0,0.0,2.0,1.0,0,0,28.0,25.0,91.0,281.0,3068,43.0,56.0,141.0,640.0,28.0,28.0,43.0,59.0,3.0,1.0,1.0,1.8,2.6,1.8
8,43,27,38,38,3,1,4,3,0,9.0,15.0,3.0,6.0,3.0,6.0,13.0,15.0,0.0,2.0,0.0,0.0,1,1,36.0,33.0,241.0,289.0,3204,46.0,80.0,404.0,664.0,39.0,33.0,49.0,80.0,4.0,1.0,1.4,1.6,2.2,2.2
8,0,27,8,8,1,0,1,3,0,7.0,13.0,5.0,4.0,3.0,11.0,18.0,17.0,2.0,3.0,0.0,0.0,0,0,9.0,5.0,285.0,261.0,2901,12.0,15.0,494.0,599.0,12.0,5.0,15.0,15.0,2.0,1.0,1.4,1.2,2.4,2.4
8,8,27,22,23,0,3,3,0,3,9.0,20.0,3.0,11.0,1.0,9.0,11.0,11.0,1.0,0.0,0.0,0.0,0,1,10.0,22.0,36.0,278.0,3042,15.0,50.0,51.0,634.0,10.0,25.0,15.0,53.0,5.0,1.0,1.8,1.0,2.2,4.2
8,22,27,2,2,1,1,2,1,1,13.0,15.0,8.0,6.0,4.0,6.0,10.0,7.0,1.0,4.0,0.0,0.0,0,0,,,41.0,256.0,2837,0.0,3.0,70.0,587.0,,,1.0,4.0,5.0,1.0,2.0,1.0,2.2,3.8
8,28,27,36,35,0,2,2,0,3,18.0,9.0,3.0,5.0,4.0,6.0,13.0,21.0,2.0,3.0,0.0,0.0,0,0,16.0,30.0,131.0,286.0,3174,38.0,77.0,226.0,661.0,16.0,33.0,38.0,80.0,4.0,1.0,1.0,1.2,2.2,3.0
8,18,27,6,6,1,3,4,0,3,6.0,17.0,4.0,9.0,6.0,5.0,10.0,11.0,4.0,1.0,0.0,0.0,1,1,4.0,2.0,207.0,258.0,2877,7.0,11.0,337.0,595.0,4.0,5.0,7.0,14.0,4.0,1.0,1.8,1.4,2.4,2.6
8,26,27,14,14,0,1,1,0,3,10.0,8.0,4.0,4.0,10.0,11.0,13.0,8.0,3.0,1.0,0.0,0.0,0,0,7.0,11.0,94.0,267.0,2958,14.0,30.0,146.0,614.0,7.0,14.0,14.0,33.0,5.0,1.0,1.8,1.8,2.4,4.0
