S,H,A,TH,TA,gh,ga,allg,ph,pa,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,y1,y2,p1,p2,p5,p6,id,p3,p4,p7,p8,p1.1,p2.1,p3.1,p4.1,KH,KA,last_h5,last_a5,last_5KH,last_5KA
1,0,23,4,4,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,35,6.0,4.0,6.0,4.0,3.0,1.0,9.0,4.0,2.0,2.0,1.0,1.0,3.0,2.8
1,1,23,26,27,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17.0,16.0,17.0,16.0,296,38.0,43.0,38.0,43.0,20.0,16.0,41.0,43.0,3.0,2.0,0.5,0.5,2.0,1.6
1,14,23,38,38,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31.0,21.0,31.0,21.0,419,43.0,62.0,43.0,62.0,32.0,22.0,44.0,63.0,4.0,2.0,1.0,0.6666666666666666,2.0,2.2
1,25,23,5,5,2,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,1.0,3.0,1.0,49,9.0,4.0,9.0,4.0,6.0,1.0,12.0,4.0,3.0,2.0,1.5,0.5,2.0,1.6
1,26,23,1,1,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,5,,,,,,,,,4.0,2.0,1.0,0.6,2.0,1.6
1,29,23,21,22,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20.0,14.0,20.0,14.0,227,35.0,39.0,35.0,39.0,21.0,15.0,36.0,40.0,2.0,2.0,2.5,0.6,2.0,2.8
1,32,23,29,29,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16.0,16.0,16.0,16.0,322,26.0,46.0,26.0,46.0,17.0,17.0,27.0,47.0,5.0,2.0,2.0,0.6,1.8,4.0
1,36,23,31,31,2,2,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,18.0,17.0,18.0,17.0,341,24.0,48.0,24.0,48.0,19.0,18.0,25.0,49.0,4.0,2.0,1.0,0.8,2.0,1.8
1,38,23,7,7,0,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,1.0,3.0,1.0,74,3.0,7.0,3.0,7.0,3.0,4.0,3.0,10.0,4.0,2.0,0.5,1.0,2.4,2.0
1,46,23,19,19,0,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15.0,11.0,15.0,11.0,205,26.0,33.0,26.0,33.0,15.0,14.0,26.0,36.0,4.0,2.0,1.5,1.4,2.4,2.4
